targetCate,trialType,stimIndex,duration,probeLeftIndex,probeRightIndex,probeOrder
Face,presurprise,26,short,,,OrientationFirst
Face,presurprise,33,short,,,OrientationFirst
Face,presurprise,98,long,,,OrientationFirst
Face,presurprise,41,short,,,OrientationFirst
Face,presurprise,111,long,,,OrientationFirst
Face,presurprise,37,long,,,OrientationFirst
Face,presurprise,55,short,,,OrientationFirst
Face,presurprise,32,short,,,OrientationFirst
Face,presurprise,109,short,,,OrientationFirst
Face,presurprise,113,long,,,OrientationFirst
Face,presurprise,79,short,,,OrientationFirst
Face,presurprise,63,short,,,OrientationFirst
Face,presurprise,3,short,,,OrientationFirst
Face,presurprise,105,short,,,OrientationFirst
Face,presurprise,88,short,,,OrientationFirst
Face,presurprise,112,long,,,OrientationFirst
Face,presurprise,20,long,,,OrientationFirst
Face,presurprise,85,long,,,OrientationFirst
Face,presurprise,6,short,,,OrientationFirst
Face,presurprise,9,long,,,OrientationFirst
Face,presurprise,18,short,,,OrientationFirst
Face,presurprise,82,long,,,OrientationFirst
Face,presurprise,48,short,,,OrientationFirst
Face,presurprise,46,short,,,OrientationFirst
Face,presurprise,57,long,,,OrientationFirst
Face,presurprise,17,long,,,OrientationFirst
Face,presurprise,96,long,,,OrientationFirst
Face,presurprise,56,long,,,OrientationFirst
Face,presurprise,110,short,,,OrientationFirst
Face,presurprise,101,short,,,OrientationFirst
Face,presurprise,72,short,,,OrientationFirst
Face,presurprise,34,long,,,OrientationFirst
Face,presurprise,43,long,,,OrientationFirst
Face,presurprise,95,short,,,OrientationFirst
Face,presurprise,86,long,,,OrientationFirst
Face,presurprise,114,short,,,OrientationFirst
Face,presurprise,47,long,,,OrientationFirst
Face,presurprise,4,long,,,OrientationFirst
Face,presurprise,31,long,,,OrientationFirst
Face,presurprise,71,long,,,OrientationFirst
Face,presurprise,94,long,,,OrientationFirst
Face,presurprise,84,short,,,OrientationFirst
Face,surprise,54,short,54.0,18.0,OrientationFirst
Face,postsurprise,53,long,35.0,53.0,OrientationFirst
Face,postsurprise,82,long,82.0,64.0,OrientationFirst
Face,postsurprise,12,long,30.0,12.0,OrientationFirst
Face,postsurprise,92,short,92.0,74.0,OrientationFirst
Face,presurprise,16,short,,,OrientationFirst
Face,presurprise,23,short,,,OrientationFirst
Face,presurprise,93,long,,,OrientationFirst
Face,presurprise,39,long,,,OrientationFirst
Face,presurprise,101,short,,,OrientationFirst
Face,presurprise,45,short,,,OrientationFirst
Face,presurprise,114,short,,,OrientationFirst
