category,orientation,task,stimulusFile,duration,trialType,targetCate,probeOrder,firstPostCategory,correctProbeLocation,orientationProbeLeftFile,orientationProbeRightFile,subjectID,stimIndex,probeLeftIndex,probeRightIndex
Face,Left,nonTarget,nonTargetFace8Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,26,,
Face,Left,nonTarget,nonTargetFace15Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,33,,
Object,Right,nonTarget,nonTargetObject8Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,98,,
Face,Right,nonTarget,nonTargetFace5Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,41,,
Face,Left,Target,TargetFace1Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,111,,
Face,Right,nonTarget,nonTargetFace1Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,37,,
Object,Center,nonTarget,nonTargetObject1Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,55,,
Face,Left,nonTarget,nonTargetFace14Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,32,,
Face,Center,Target,TargetFace1Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,109,,
Face,Right,Target,TargetFace1Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,113,,
Object,Left,nonTarget,nonTargetObject7Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,79,,
Object,Center,nonTarget,nonTargetObject9Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,63,,
Face,Center,nonTarget,nonTargetFace3Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,3,,
Object,Right,nonTarget,nonTargetObject15Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,105,,
Object,Left,nonTarget,nonTargetObject16Left.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,88,,
Face,Left,Target,TargetFace2Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,112,,
Face,Left,nonTarget,nonTargetFace2Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,20,,
Object,Left,nonTarget,nonTargetObject13Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,85,,
Face,Center,nonTarget,nonTargetFace6Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,6,,
Face,Center,nonTarget,nonTargetFace9Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,9,,
Face,Center,nonTarget,nonTargetFace18Center.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,18,,
Object,Left,nonTarget,nonTargetObject10Left.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,82,,
Face,Right,nonTarget,nonTargetFace12Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,48,,
Face,Right,nonTarget,nonTargetFace10Right.png,short,presurprise,Face,OrientationFirst,Face,left,,,0,46,,
Object,Center,nonTarget,nonTargetObject3Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,57,,
Face,Center,nonTarget,nonTargetFace17Center.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,17,,
Object,Right,nonTarget,nonTargetObject6Right.png,long,presurprise,Face,OrientationFirst,Face,left,,,0,96,,
