targetCate,category,duration,orientation,task,stimulusFile,subjectID,stimIndex
Face,Object,long,Center,nonTarget,nonTargetObject16Center-Practice.png,0,70
Face,Object,short,Center,nonTarget,nonTargetObject3Center-Practice.png,0,57
Face,Face,long,Center,nonTarget,nonTargetFace16Center-Practice.png,0,16
Face,Face,long,Center,nonTarget,nonTargetFace10Center-Practice.png,0,10
Face,Object,short,Center,nonTarget,nonTargetObject8Center-Practice.png,0,62
Face,Face,long,Center,nonTarget,nonTargetFace14Center-Practice.png,0,14
Face,Object,long,Center,nonTarget,nonTargetObject13Center-Practice.png,0,67
Face,Face,short,Right,nonTarget,nonTargetFace15Right-Practice.png,0,51
Face,Face,long,Center,Target,targetFace1Center-Practice.png,0,109
Face,Object,short,Right,nonTarget,nonTargetObject3Right-Practice.png,0,93
Face,Face,long,Left,nonTarget,nonTargetFace7Left-Practice.png,0,25
Face,Object,long,Center,nonTarget,nonTargetObject1Center-Practice.png,0,55
Face,Face,long,Left,nonTarget,nonTargetFace14Left-Practice.png,0,32
Face,Face,short,Center,Target,targetFace2Center-Practice.png,0,110
Face,Object,long,Right,nonTarget,nonTargetObject16Right-Practice.png,1,106
Face,Face,long,Left,nonTarget,nonTargetFace15Left-Practice.png,1,33
Face,Object,long,Center,nonTarget,nonTargetObject6Center-Practice.png,1,60
Face,Object,long,Right,nonTarget,nonTargetObject5Right-Practice.png,1,95
Face,Face,short,Center,nonTarget,nonTargetFace4Center-Practice.png,1,4
Face,Object,long,Center,nonTarget,nonTargetObject2Center-Practice.png,1,56
Face,Face,long,Right,Target,targetFace2Right-Practice.png,1,114
Face,Face,long,Right,nonTarget,nonTargetFace17Right-Practice.png,1,53
Face,Face,long,Left,nonTarget,nonTargetFace14Left-Practice.png,1,32
Face,Face,short,Left,Target,targetFace1Left-Practice.png,1,111
Face,Object,short,Center,nonTarget,nonTargetObject17Center-Practice.png,1,71
Face,Face,long,Center,nonTarget,nonTargetFace17Center-Practice.png,1,17
Face,Object,long,Center,nonTarget,nonTargetObject8Center-Practice.png,1,62
Face,Face,short,Center,nonTarget,nonTargetFace6Center-Practice.png,1,6
Face,Object,long,Right,nonTarget,nonTargetObject13Right-Practice.png,2,103
Face,Face,long,Center,nonTarget,nonTargetFace16Center-Practice.png,2,16
Face,Face,short,Center,nonTarget,nonTargetFace17Center-Practice.png,2,17
Face,Object,long,Right,nonTarget,nonTargetObject5Right-Practice.png,2,95
Face,Face,long,Left,nonTarget,nonTargetFace7Left-Practice.png,2,25
Face,Face,long,Left,nonTarget,nonTargetFace18Left-Practice.png,2,36
Face,Face,long,Center,Target,targetFace2Center-Practice.png,2,110
Face,Face,long,Right,Target,targetFace1Right-Practice.png,2,113
Face,Object,long,Right,nonTarget,nonTargetObject8Right-Practice.png,2,98
Face,Face,short,Right,nonTarget,nonTargetFace6Right-Practice.png,2,42
Face,Object,long,Right,nonTarget,nonTargetObject2Right-Practice.png,2,92
Face,Object,short,Right,nonTarget,nonTargetObject10Right-Practice.png,2,100
Face,Object,long,Right,nonTarget,nonTargetObject1Right-Practice.png,2,91
Face,Face,long,Left,nonTarget,nonTargetFace9Left-Practice.png,2,27
Face,Face,long,Right,Target,targetFace2Right-Practice.png,3,114
Face,Face,long,Right,nonTarget,nonTargetFace14Right-Practice.png,3,50
Face,Object,long,Right,nonTarget,nonTargetObject9Right-Practice.png,3,99
Face,Object,short,Center,nonTarget,nonTargetObject3Center-Practice.png,3,57
Face,Object,short,Right,nonTarget,nonTargetObject2Right-Practice.png,3,92
Face,Face,short,Right,nonTarget,nonTargetFace1Right-Practice.png,3,37
Face,Face,long,Right,nonTarget,nonTargetFace5Right-Practice.png,3,41
Face,Object,short,Left,nonTarget,nonTargetObject8Left-Practice.png,3,80
Face,Face,short,Center,nonTarget,nonTargetFace13Center-Practice.png,3,13
Face,Object,short,Center,nonTarget,nonTargetObject6Center-Practice.png,3,60
Face,Face,long,Right,Target,targetFace1Right-Practice.png,3,113
Face,Face,long,Right,nonTarget,nonTargetFace13Right-Practice.png,3,49
Face,Face,short,Left,nonTarget,nonTargetFace11Left-Practice.png,3,29
Face,Object,short,Left,nonTarget,nonTargetObject5Left-Practice.png,3,77
Face,Face,long,Center,nonTarget,nonTargetFace10Center-Practice.png,4,10
Face,Face,long,Center,Target,targetFace1Center-Practice.png,4,109
Face,Face,long,Left,nonTarget,nonTargetFace11Left-Practice.png,4,29
Face,Object,long,Right,nonTarget,nonTargetObject6Right-Practice.png,4,96
Face,Object,short,Left,nonTarget,nonTargetObject5Left-Practice.png,4,77
Face,Face,long,Right,nonTarget,nonTargetFace2Right-Practice.png,4,38
Face,Object,short,Left,nonTarget,nonTargetObject15Left-Practice.png,4,87
