,onset,duration,block_type,event_type,target_group,category,duration_str,orientation,task_relevance,stim_id,response_time,response,probe_order,congruency,online,participant_id
0,107.5,0.5,surprise,probe_orientation,Face,face,short,center,target,TargetFace2Center.png,8.434000000000001,center,orientationFirst,congruent,False,Sub101
1,122.692,0.5,surprise,probe_duration,Face,face,short,center,target,TargetFace2Center.png,7.949,short,orientationFirst,congruent,False,Sub101
2,107.5,0.5,surprise,probe_orientation,Object,object,short,center,target,TargetObject1Center.png,3.706,center,durationFirst,incongruent,False,Sub102
3,115.462,0.5,surprise,probe_duration,Object,object,short,center,target,TargetObject1Center.png,5.785,short,durationFirst,incongruent,False,Sub102
4,107.5,0.5,surprise,probe_orientation,Face,face,short,center,target,TargetFace1Center.png,2.828,center,durationFirst,incongruent,False,Sub103
5,113.457,0.5,surprise,probe_duration,Face,face,short,center,target,TargetFace1Center.png,11.94,short,durationFirst,incongruent,False,Sub103
6,107.5,0.5,surprise,probe_orientation,Object,object,short,center,target,TargetObject2Center.png,6.593,center,orientationFirst,congruent,False,Sub104
7,119.877,0.5,surprise,probe_duration,Object,object,short,center,target,TargetObject2Center.png,5.551,short,orientationFirst,congruent,False,Sub104
8,107.5,0.5,surprise,probe_orientation,Object,object,short,left,target,TargetObject2Left.png,4.163,left,orientationFirst,incongruent,False,Sub105
9,117.883,0.5,surprise,probe_duration,Object,object,short,left,target,TargetObject2Left.png,2.605,short,orientationFirst,incongruent,False,Sub105
10,107.5,0.5,surprise,probe_orientation,Face,face,short,left,target,TargetFace1Left.png,4.5360000000000005,left,durationFirst,congruent,False,Sub106
11,118.834,0.5,surprise,probe_duration,Face,face,short,left,target,TargetFace1Left.png,6.479,short,durationFirst,congruent,False,Sub106
12,107.5,0.5,surprise,probe_orientation,Object,object,short,left,target,TargetObject1Left.png,3.865,center,durationFirst,congruent,False,Sub107
13,115.536,0.5,surprise,probe_duration,Object,object,short,left,target,TargetObject1Left.png,4.49,short,durationFirst,congruent,False,Sub107
14,107.5,0.5,surprise,probe_orientation,Face,face,short,right,target,TargetFace1Right.png,3.633,right,durationFirst,incongruent,False,Sub108
15,115.948,0.5,surprise,probe_duration,Face,face,short,right,target,TargetFace1Right.png,7.34,short,durationFirst,incongruent,False,Sub108
